year,adjustment
1962,9.061172
1963,8.972542
1964,8.855844
1965,8.743724
1966,8.622324
1967,8.362292
1968,8.098488
1969,7.753422
1970,7.34884
1971,6.956884
1972,6.666564
1973,6.442236
1974,6.038152
1975,5.439354
1976,4.983522
1977,4.716828
1978,4.421374
1979,4.10715
1980,3.73937
1981,3.304772
1982,3.044658
1983,2.885476
1984,2.810298
1985,2.762478
1986,2.520348
1987,2.475954
1988,2.389542
1989,2.291808
1990,2.187624
1991,2.083532
1992,1.984678
1993,1.931762
1994,1.880178
1995,1.837924
1996,1.790058
1997,1.743012
1998,1.695363
1999,1.667572
2000,1.626
2001,1.570022
2002,1.526566
2003,1.505476
2004,1.46493
2005,1.425912
2006,1.377078
2007,1.330676
2008,1.294424
2009,1.246524
2010,1.250002
2011,1.227148
2012,1.190146
2013,1.163676
2014,1.16469
2015,1.147724
2016,1.147078
2017,1.132044
2018,1.104354
2019,1.080438
2020,1.060652
2021,1.050444
2022,0.998646
2023,0.925494